date,close_bbg
10/16/2018,1250.46
10/17/2018,1251.66
10/18/2018,1232.83
10/19/2018,1236.09
10/22/2018,1231.02
10/23/2018,1225.82
10/24/2018,1185.78
10/25/2018,1211.11
10/26/2018,1189.06
10/29/2018,1177.69
10/30/2018,1193.7
10/31/2018,1208.84
11/1/2018,1219.8
11/2/2018,1210.74
11/5/2018,1217.5
11/6/2018,1224.67
11/7/2018,1252.45
11/8/2018,1249.08
11/9/2018,1237.35
11/12/2018,1211.59
11/13/2018,1209.15
11/14/2018,1199.77
11/15/2018,1212.59
11/16/2018,1213.73
11/19/2018,1193.49
11/20/2018,1169.94
11/21/2018,1171.29
11/23/2018,1161.4
11/26/2018,1180.46
11/27/2018,1186.55
11/28/2018,1216.09
11/29/2018,1213.7
11/30/2018,1225.19
12/3/2018,1238.63
12/4/2018,1197.48
12/6/2018,1196.2
12/7/2018,1167.57
12/10/2018,1170.41
12/11/2018,1170.08
12/12/2018,1176.02
12/13/2018,1178.25
12/14/2018,1153.59
12/17/2018,1130.63
12/18/2018,1132.03
12/19/2018,1113.55
12/20/2018,1096.36
12/21/2018,1071.32
12/24/2018,1042.77
12/26/2018,1096.95
12/27/2018,1105.17
12/28/2018,1104.34
12/31/2018,1113.87
1/2/2019,1118.14
1/3/2019,1088.03
1/4/2019,1126.64
1/7/2019,1133.22
1/8/2019,1143.87
1/9/2019,1146.66
1/10/2019,1149.47
1/11/2019,1149.35
1/14/2019,1143.95
1/15/2019,1157.45
1/16/2019,1159.94
1/17/2019,1167.86
1/18/2019,1181.55
1/22/2019,1163.81
1/23/2019,1167.81
1/24/2019,1167.43
1/25/2019,1176.11
1/28/2019,1164.44
1/29/2019,1160.65
1/30/2019,1180.56
1/31/2019,1191.68
2/1/2019,1191.67
2/4/2019,1200.75
2/5/2019,1207.64
2/6/2019,1204.43
2/7/2019,1190.83
2/8/2019,1190.16
2/11/2019,1189.59
2/12/2019,1205.74
2/13/2019,1208.8
2/14/2019,1204.8
2/15/2019,1217.96
2/19/2019,1219.92
2/20/2019,1221.74
2/21/2019,1217.44
2/22/2019,1225.06
2/25/2019,1228.38
2/26/2019,1228.5
2/27/2019,1227.68
2/28/2019,1223.55
3/1/2019,1232.43
3/4/2019,1229.43
3/5/2019,1229.75
3/6/2019,1223.14
3/7/2019,1212.88
3/8/2019,1211.04
3/11/2019,1229.57
3/12/2019,1232.94
3/13/2019,1241.98
3/14/2019,1240.77
3/15/2019,1247.48
3/18/2019,1252.08
3/19/2019,1252.57
3/20/2019,1251.26
3/21/2019,1262.92
3/22/2019,1239.09
3/25/2019,1237.23
3/26/2019,1246.22
3/27/2019,1240.05
3/28/2019,1243.51
3/29/2019,1251.56
4/1/2019,1265.92
4/2/2019,1266.04
4/3/2019,1268.05
4/4/2019,1271.4
4/5/2019,1275.54
4/8/2019,1277.57
4/9/2019,1270.67
4/10/2019,1273.79
4/11/2019,1273.18
4/12/2019,1281.09
4/15/2019,1281.62
4/16/2019,1285.1
4/17/2019,1286.13
4/18/2019,1287.4
4/22/2019,1290.69
4/23/2019,1301.56
4/24/2019,1297.02
4/25/2019,1298.54
4/26/2019,1304.15
4/29/2019,1307.07
4/30/2019,1305.2
5/1/2019,1297.69
5/2/2019,1292.88
5/3/2019,1306.72
5/6/2019,1300.44
5/7/2019,1278.76
5/8/2019,1276.4
5/9/2019,1271.22
5/10/2019,1275.1
5/13/2019,1243.47
5/14/2019,1252.41
5/15/2019,1262.3
5/16/2019,1274.32
5/17/2019,1267.41
5/20/2019,1258.85
5/21/2019,1267.75
5/22/2019,1264.15
5/23/2019,1249.31
5/24/2019,1250.67
5/28/2019,1240.99
5/29/2019,1231.97
5/30/2019,1233.67
5/31/2019,1215.02
6/3/2019,1206.83
6/4/2019,1232.95
6/5/2019,1241.46
6/6/2019,1250.21
6/7/2019,1265.65
6/10/2019,1272.58
6/11/2019,1273.58
6/12/2019,1270.39
6/13/2019,1275.45
6/14/2019,1274.4
6/17/2019,1277.35
6/18/2019,1289.69
6/19/2019,1292.32
6/20/2019,1305.05
6/21/2019,1304.36
6/24/2019,1302.82
6/25/2019,1288.61
6/26/2019,1288.83
6/27/2019,1292.25
6/28/2019,1297.46
7/1/2019,1307.95
7/2/2019,1313.63
7/3/2019,1323.16
7/5/2019,1320.77
7/8/2019,1314.36
